"","alias","target"
"914","cmfmlq","traffic_sign"
"915","nacodx","traffic_sign"
"916","qmgmoz","traffic_sign"
"917","qmgmoz","traffic_sign"
"918","ulfdpv","transformers"
"919","vgilwn","transformers"
"920","onzppx","transformers"
"921","ulfdpv","facade"
"922","wdbxzc","door"
"923","bodvnx","facade"
"924","zzcclz","facade"
"925","yeroka","facade"
"926","qndkma","facade"
"927","oerbhj","facade"
"928","ltiqvv","facade"
"929","pwtwpd","facade"
"930","ltiqvv","facade"
"931","pwtwpd","facade"
"932","deqocp","facade"
"933","ltiqvv","facade"
"934","pwtwpd","facade"
"935","rghhse","facade"
"936","escufo","door"
"937","nyddph","door"
"938","nkiova","door"
"939","ltiqvv","door"
"940","ueijbd","door"
"941","cfyvpg","door"
"942","deqocp","facade"
"943","hqwkgk","transformers"
"944","bhttig","transformers"
"945","gbnsmv","transformers"
"946","rnvxxz","transformers"
"947","rukjuy","transformers"
"948","rnvxxz","transformers"
"949","rukjuy","transformers"
"950","htebvh","facade"
"951","htebvh","facade"
"952","htebvh","facade"
"953","htebvh","facade"
"954","nqspxk","facade"
"955","iwdoim","facade"
"956","psklaf","facade"
"957","miqgga","facade"
"958","cipnck","facade"
"959","ueijbd","facade"
"960","qmgmoz","facade"
"961","ueijbd","facade"
"962","ueijbd","transformers"
"963","ulfdpv","transformers"
"964","evyawn","transformers"
"965","vskscx","transformers"
"966","sjimpx","facade"
"967","afavaj","transformers"
"968","uekorj","transformers"
"969","bfanww","facade"
"970","lkkcqz","facade"
"971","onzppx","facade"
"972","xxuvwk","facade"
"973","jdyxal","door"
"974","qkhryz","facade"
"975","xxuvwk","facade"
"976","ulfdpv","facade"
"977","gibgve","facade"
"978","miqgga","facade"
"979","flzdvc","facade"
"980","rqsnaa","facade"
"981","uiyzns","facade"
"982","fpwvey","facade"
"983","aolsdk","facade"
"984","jydlsw","facade"
"985","aeqwms","facade"
"986","yposeh","facade"
"987","gimgjy","facade"
"988","ueijbd","transformers"
"989","zzfaez","transformers"
"990","reozin","transformers"
"991","rnvxxz","facade"
"992","rukjuy","facade"
"993","dwvbzl","facade"
"994","cfyvpg","facade"
"995","oerbhj","facade"
"996","deqocp","door"
"997","nkiova","door"
"998","cyorjf","door"
"999","zzfaez","door"
"1000","ueijbd","door"
"1001","kwohyq","door"
"1002","rghhse","door"
"1003","adpsxi","facade"
"1004","kkfagc","facade"
"1005","bygmkn","facade"
"1006","bygmkn","facade"
"1007","qtwskh","facade"
"1008","dwvbzl","facade"
"1009","miqgga","facade"
"1010","ulfdpv","facade"
"1011","jzvxjk","garage_door"
"1012","ylavbr","facade"
"1013","dunpuf","transformers"
"1014","fhetog","transformers"
"1015","vskscx","transformers"
"1016","vskscx","transformers"
"1017","vskscx","transformers"
"1018","vskscx","transformers"
"1019","kjykza","facade"
"1020","ylavbr","facade"
"1021","vrerur","facade"
"1022","ueijbd","facade"
"1023","jhdfwu","facade"
"1024","tjziyt","facade"
"1025","heefes","facade"
"1026","wqltsq","facade"
"1027","drehbb","facade"
"1028","kuujiw","facade"
"1029","kuujiw","facade"
"1030","pfincj","facade"
"1031","jzvxjk","facade"
"1032","ylavbr","facade"
"1033","zzfaez","facade"
"1034","qmgmoz","facade"
"1035","pfincj","facade"
"1036","ufphef","facade"
"1037","deqocp","facade"
"1038","hfmhjn","parking_meter"
"1039","afhukb","parking_meter"
"1040","dwvbzl","facade"
"1041","tjziyt","transformers"
"1042","otjlyb","facade"
"1043","ymqdng","facade"
"1044","rhjiys","facade"
"1045","ulfdpv","transformers"
